Nom de la gare,Code UIC complet,Code postal,Segmentation DRG 2021,Total Voyageurs 2020,Total Voyageurs + Non voyageurs 2020,Total Voyageurs 2019,Total Voyageurs + Non voyageurs 2019,Total Voyageurs 2018,Total Voyageurs + Non voyageurs 2018,Total Voyageurs 2017,Total Voyageurs + Non voyageurs 2017,Total Voyageurs 2016,Total Voyageurs + Non voyageurs 2016,Total Voyageurs 2015,Total Voyageurs + Non voyageurs 2015
Savigny-sur-Orge,87545236,91600,B,4494928,4494928,8218456,8218456,8091982,8091982,7998447,7998447,7756128,7756128,7477288,7477288
Savy-Berlette,87342253,62690,C,29700,29700,29712,29712,29081,29081,35026,35026,38536,38536,36355,36355
Schweighouse-sur-Moder,87213108,67590,C,15991,15991,24974,24974,21221,21221,16061,16061,17854,17854,18739,18739
Sedan,87172254,8200,B,208443,260553,281671,352088,265254,331568,304460,380575,310422,388028,327997,409997
Sélestat,87214056,67600,B,1572364,1965455,2394038,2992548,2257513,2821892,2225163,2781454,2086181,2607726,2062470,2578087
Selles-sur-Cher,87576868,41130,C,19177,19177,27663,27663,23660,23660,26682,26682,26725,26725,27074,27074
Seltz,87212431,67470,C,34485,34485,47482,47482,43068,43068,44815,44815,42966,42966,38779,38779
Sérifontaine,87381269,60590,C,522,522,1048,1048,4700,4700,6693,6693,6792,6792,7675,7675
Serres,87763722,5700,C,5138,5138,11608,11608,13227,13227,18488,18488,17619,17619,17529,17529
Sessenheim,87212365,67770,C,58277,58277,84660,84660,87444,87444,87386,87386,87873,87873,88449,88449
Seurre,87713677,21250,C,50275,50275,59970,59970,50089,50089,53673,53673,51862,51862,63082,63082
Sévérac,87476754,44530,C,7792,7792,10076,10076,5873,5873,2841,2841,967,967,964,964
Seyssel - Corbonod,87745828,1420,C,37709,37709,65164,65164,49537,49537,66355,66355,57460,57460,64114,64114
Sillé-le-Guillaume,87396234,72140,B,57135,71419,100320,125400,102463,128078,122755,153444,122207,152758,125028,156285
Sommery,87411462,76440,C,2099,2099,2678,2678,2477,2477,3868,3868,3687,3687,3891,3891
Soulac-sur-Mer,87581371,33780,C,39215,39215,50903,50903,39300,39300,36686,36686,30531,30531,32954,32954
Soultz-sous-Forêts,87213421,67250,B,137292,171615,181588,226985,183462,229328,191259,239074,178746,223433,181158,226448
Sous le Bois,87295543,59600,C,12,12,342,342,374,374,334,334,496,496,715,715
Stade de France Saint-Denis,87164780,93200,B,5197870,5197870,9511865,9511865,9616737,9616737,9890614,9890614,9915895,9915895,9893704,9893704
Steenbecque,87342295,59189,C,260,260,209,209,366,366,895,895,707,707,597,597
Strasbourg,87212027,67000,A,13049946,14662861,21465169,24118167,20170472,22663452,19989293,22459880,18472587,20755716,18232891,20486395
Suèvres,87574236,41500,C,49,49,170,170,61,61,62,62,183,183,63,63
Suresnes Mont Valérien,87382374,92150,B,1891581,1891581,3463282,3463282,3120349,3120349,2847025,2847025,2544442,2544442,2559923,2559923
Taconnaz,87746750,74310,C,4141,4141,3871,3871,4170,4170,3699,3699,2966,2966,2772,2772
Taillebourg,87491043,17350,C,0,0,663,663,368,368,453,453,563,563,252,252
Tain-l'Hermitage - Tournon,87761163,26600,B,335257,419071,505404,631755,448862,561078,470380,587975,440660,550825,451618,564523
Tarascon,87765354,13150,B,113552,141940,213447,266809,196663,245829,226304,282880,213085,266356,219666,274583
Tende,87756882,6430,C,11920,11920,22922,22922,18199,18199,26052,26052,26822,26822,24345,24345
Thenissey,87713099,21150,C,3006,3006,5014,5014,5561,5561,5167,5167,6434,6434,7543,7543
Thésée,87328195,41140,C,5126,5126,5585,5585,3370,3370,4384,4384,5421,5421,4145,4145
Thuès Carença,87784751,66360,C,1984,1984,2100,2100,2042,2042,1931,1931,2481,2481,2538,2538
Tonnay-Charente,87485151,17430,C,12983,12983,15321,15321,11928,11928,13460,13460,11577,11577,13000,13000
Torpes - Boussières,87718114,25320,C,3100,3100,2743,2743,2086,2086,1492,1492,2373,2373,2288,2288
Toul,87141044,54200,B,184300,230375,274607,343259,251538,314423,258636,323295,230441,288052,232067,290084
Tourcoing,87286542,59200,A,425537,531921,610714,763393,731606,914508,1048189,1310236,840616,1050770,169429,211786
Tournan-en-Brie,87116210,77220,B,1078331,1078331,1971494,1971494,2017749,2017749,2082036,2082036,2107021,2107021,2128614,2128614
Tournemire - Roquefort,87783456,12250,C,343,343,937,937,482,482,499,499,542,542,548,548
Tourville-la-Rivière,87411181,76410,C,1463,1463,1109,1109,1342,1342,1185,1185,1651,1651,2045,2045
Toury,87543074,28310,B,103047,128809,130809,163512,106085,132607,101462,126828,102425,128032,107221,134027
Traou Nez,87322347,22860,C,93,93,178,178,111,111,203,203,233,233,139,139
Trois Chênes,87184242,90000,C,14019,14019,22181,22181,18155,18155,20775,20775,21491,21491,16508,16508
Trois-Puits,87171264,51500,C,1,1,283,283,60,60,146,146,12,12,377,377
Uckange,87191130,57270,B,331562,414452,494204,617755,414838,518547,397491,496864,323709,404637,233101,291376
Ur - Les Escaldes,87784884,66760,C,126,126,48,48,44,44,82,82,37,37,51,51
Urçay - La Perche,87576348,18200,C,1943,1943,3024,3024,4200,4200,5286,5286,4913,4913,5743,5743
Ussel,87594093,19200,C,43557,43557,55008,55008,50999,50999,61827,61827,59892,59892,70375,70375
Ustaritz,87673624,64480,C,2245,2245,2243,2243,2244,2244,2770,2770,2843,2843,2114,2114
Val-de-Reuil,87415877,27100,B,332982,416228,553671,692089,478731,598414,528758,660947,488066,610082,495465,619331
Varetz,87594606,19240,C,1394,1394,2217,2217,1814,1814,2338,2338,2141,2141,1797,1797
Vayres,87584714,33870,C,32356,32356,46569,46569,32246,32246,23578,23578,19040,19040,18649,18649
Veigné,87571414,37250,C,8435,8435,10360,10360,11787,11787,16682,16682,20693,20693,21159,21159
Venerque - Vernet,87611392,31810,B,130582,163228,174216,217771,159166,198958,196492,245615,189512,236890,188479,235599
Vénissieux,87723320,69200,B,113683,142104,185295,231619,159707,199633,173281,216601,179328,224160,190252,237815
Vergèze - Codognan,87775114,30310,B,204051,255064,243949,304936,218204,272755,247436,309295,221370,276713,212990,266238
Vertaizon,87734426,63910,B,115090,143863,148924,186155,129123,161403,138218,172772,124762,155952,132294,165368
Vienne,87722587,38200,B,1106437,1383046,1768935,2211169,1559620,1949525,1602133,2002666,1492175,1865218,1490676,1863346
Vieux-Thann,87182550,68800,B,141694,177118,154545,193182,157296,196620,169322,211653,169343,211678,158063,197578
Villedieu-les-Poêles,87447698,50800,C,52622,52622,101134,101134,87124,87124,86219,86219,79093,79093,69944,69944
Villefranche-du-Périgord,87595892,24550,C,1895,1895,3251,3251,2586,2586,3084,3084,3318,3318,3683,3683
Villeneuve Triage,87681809,94190,B,723311,723311,1322503,1322503,1381636,1381636,1439542,1439542,1472868,1472868,1502738,1502738
Villeneuve-la-Comtesse,87491258,17330,C,1196,1196,2159,2159,1833,1833,1548,1548,1895,1895,2463,2463
Villeneuve-Loubet,87756304,6270,B,222593,278241,381658,477072,304407,380509,323854,404818,268009,335011,258298,322873
Villeneuve-sur-Allier,87696310,3460,C,620,620,874,874,149,149,190,190,265,265,172,172
Villenouvelle,87618215,31290,C,13848,13848,17338,17338,11581,11581,15656,15656,18415,18415,17963,17963
Villers-Cotterêts,87271734,2600,B,253080,316350,370900,463625,353457,441821,392138,490172,389764,487205,416589,520736
Villiers - Neauphle - Pontchartrain,87393884,78640,B,499032,499032,915771,915771,885357,885357,870952,870952,831616,831616,790827,790827
Villiers-sur-Marne - Le Plessis-Trévise,87113795,94350,B,4455330,4455330,8146119,8146119,8276068,8276068,8434061,8434061,8426955,8426955,8383560,8383560
Vinça,87784611,66320,C,993,993,540,540,531,531,1348,1348,1094,1094,927,927
Virville - Manneville,87413336,76110,C,0,0,48,48,2082,2082,2391,2391,3652,3652,5426,5426
Viry-Châtillon,87681312,91170,B,1364818,1364818,2495409,2495409,2332852,2332852,2167934,2167934,1981085,1981085,1809467,1809467
Vitré,87471508,35500,B,591362,739203,831668,1039585,756074,945092,752567,940709,718364,897955,709991,887488
Vitry-en-Artois,87342113,62490,C,61341,61341,91824,91824,93824,93824,95886,95886,95222,95222,97110,97110
Volvic,87641423,63530,C,6737,6737,8791,8791,7619,7619,9864,9864,9518,9518,8183,8183
Vonnas,87725820,1540,C,85383,85383,91327,91327,94344,94344,93489,93489,93865,93865,92618,92618
Vougeot - Gilly-lès-Cîteaux,87713511,21640,C,29538,29538,36550,36550,28416,28416,32250,32250,31697,31697,41974,41974
Voves,87545707,28150,C,26418,26418,42483,42483,34200,34200,33236,33236,27529,27529,27688,27688
Vrigne-Meuse,87172221,8350,C,4032,4032,4277,4277,4818,4818,5990,5990,7801,7801,7036,7036
Walbach,87182360,68230,C,3027,3027,5326,5326,5720,5720,6960,6960,5271,5271,6899,6899
Walbourg,87213405,67360,C,24737,24737,43834,43834,41875,41875,39017,39017,35223,35223,39264,39264
Walheim,87181065,68130,C,3444,3444,6940,6940,5902,5902,6420,6420,6135,6135,6043,6043
Wambrechies,87286229,59118,C,21,21,919,919,976,976,1093,1093,745,745,1292,1292
Wattignies - Templemars,87286526,59680,C,36998,36998,69841,69841,59292,59292,61813,61813,58718,58718,66457,66457
Wavrin,87286419,59136,B,52187,65234,98796,123495,89463,111829,100846,126058,101274,126593,108641,135801
Wihr-au-Val - Soultzbach,87182378,68230,C,36875,36875,40307,40307,36849,36849,41448,41448,38444,38444,38570,38570
Willer-sur-Thur,87182584,68760,C,28158,28158,33144,33144,32699,32699,38078,38078,37509,37509,38789,38789
Wilwisheim,87212175,67270,C,30311,30311,39515,39515,39001,39001,33171,33171,32877,32877,34845,34845
Wittring,87193656,57137,C,5284,5284,6744,6744,7293,7293,9824,9824,13676,13676,15023,15023
Woincourt,87317511,80520,C,1106,1106,4995,4995,7732,7732,11946,11946,13623,13623,14320,14320
Woippy,87192088,57140,B,79458,79458,139362,139362,120464,120464,117181,117181,100227,100227,89236,89236
Xertigny,87144121,88220,C,871,871,1185,1185,1036,1036,978,978,1350,1350,1919,1919
Zillisheim,87182196,68720,C,24257,24257,39973,39973,36631,36631,33699,33699,32455,32455,33298,33298
Abbaretz,87481614,44170,C,22773,22773,38473,38473,38027,38027,35637,35637,33021,33021,35989,35989
Aigueperse,87734129,63260,C,50677,50677,75954,75954,70745,70745,77218,77218,78088,78088,75873,75873
Aiguillon,87586693,47190,C,89616,89616,109094,109094,92690,92690,96909,96909,90187,90187,92826,92826
Aime - La Plagne,87741769,73210,B,71603,89504,105825,132281,104267,130333,106398,132998,105331,131663,101243,126554
Aixe-sur-Vienne,87592667,87700,C,8611,8611,10016,10016,5734,5734,8524,8524,8301,8301,8442,8442
Albens,87746115,73410,C,67880,67880,106006,106006,84275,84275,99810,99810,86676,86676,86131,86131
Albi Madeleine,87615195,81000,C,37520,37520,51855,51855,44787,44787,55019,55019,52084,52084,63723,63723
Albias,87613398,82350,C,11378,11378,11386,11386,8780,8780,11579,11579,9415,9415,10586,10586
Ambronay - Priay,87743146,1500,C,5665,5665,9145,9145,5983,5983,6623,6623,7700,7700,7463,7463
Anchamps,87172858,8500,C,5694,5694,7376,7376,6979,6979,6235,6235,5123,5123,6400,6400
Andelot-en-Montagne,87715102,39320,C,4698,4698,5782,5782,4050,4050,6806,6806,9288,9288,9918,9918
Andrézieux-Bouthéon,87726406,42160,C,20292,20292,37934,37934,25637,25637,23002,23002,19698,19698,24472,24472
Angers Saint-Laud,87484006,49100,A,3433325,5282039,5739760,8830401,5372470,8265338,5647027,8687733,5368048,8258536,5411683,8325666
Angoulins sur Mer,87485102,17690,C,7140,7140,11349,11349,9187,9187,16213,16213,15996,15996,14955,14955
Anor,87295055,59186,C,14384,14384,20768,20768,20097,20097,20943,20943,20983,20983,22276,22276
Apach,87191643,57480,C,369,369,907,907,1164,1164,1105,1105,1059,1059,1066,1066
Appilly,87296459,60400,C,5965,5965,7990,7990,7832,7832,6961,6961,6728,6728,5493,5493
Arc-et-Senans,87718841,25610,C,47438,47438,55544,55544,43376,43376,50233,50233,47098,47098,43531,43531
Argenton-sur-Creuse,87597120,36200,B,118590,148238,153723,192154,128952,161190,134473,168092,126215,157769,136447,170559
Arrou,87394486,28290,C,7471,7471,8096,8096,7113,7113,7322,7322,6770,6770,6001,6001
Audun-le-Roman,87194357,54560,C,4600,4600,6265,6265,4803,4803,6641,6641,7155,7155,10122,10122
Aumale,87313767,76390,C,865,865,951,951,1693,1693,2295,2295,1727,1727,1926,1926
Auneau,87545657,28700,C,16876,16876,30190,30190,30121,30121,31784,31784,33197,33197,32939,32939
Auvers-sur-Oise,87276543,95430,B,74720,74720,137596,137596,124831,124831,127133,127133,123968,123968,121177,121177
Avenay-Val-d'Or,87171579,51160,C,17236,17236,18793,18793,12786,12786,15908,15908,21039,21039,24502,24502
Avenue du Président Kennedy Maison de Radio France,87543207,75016,B,969800,969800,1773182,1773182,1804822,1804822,1836151,1836151,1838993,1838993,1832910,1832910
Avenue Foch,87381038,75016,B,672618,672618,1229815,1229815,1217132,1217132,1211248,1211248,1181387,1181387,1146187,1146187
Avignon Centre,87765008,84000,B,1279138,1487369,2301960,2676697,2158528,2509917,2575499,2994767,2341921,2723164,2309025,2684913
Avoudrey,87718551,25690,C,13740,13740,21973,21973,15850,15850,17198,17198,17448,17448,19852,19852
Azay-le-Rideau,87571638,37190,C,66667,66667,84578,84578,72388,72388,71656,71656,70146,70146,70977,70977
Bagnac-sur-Célé,87613604,46270,C,920,920,1569,1569,3358,3358,4727,4727,4038,4038,4367,4367
Bailleul,87286179,59270,B,764001,955001,1021600,1277000,944255,1180319,998316,1247895,955858,1194822,955623,1194529
Bailleul-Sir-Berthoult,87342592,62580,C,640,640,852,852,687,687,951,951,1628,1628,1035,1035
Bainville-sur-Madon,87141531,54550,C,2,2,60,60,7,7,563,563,2676,2676,3102,3102
Balbigny,87726869,42510,B,58218,72773,83759,104699,77780,97226,96801,121001,105225,131532,110115,137643
Bannalec,87474189,29380,C,25645,25645,28103,28103,22562,22562,22688,22688,23072,23072,23529,23529
Barentin,87411264,76360,B,169387,211734,238127,297659,222939,278674,238655,298319,254756,318445,280261,350326
Barenton-Bugny,87297291,2000,C,6211,6211,6141,6141,8608,8608,11174,11174,10665,10665,9537,9537
Barjac,87783563,48000,C,109,109,76,76,16,16,24,24,23,23,4,4
Bar-le-Duc,87175042,55000,B,279951,349939,416584,520730,381208,476511,415280,519100,387660,484575,414938,518672
Baroncourt,87192658,55240,C,5756,5756,9000,9000,7517,7517,9225,9225,8703,8703,12179,12179
Bas - Monistrol-sur-Loire,87726778,43120,C,55120,68900,102476,128095,82163,102704,65736,82170,91221,114027,98801,123502
Bas Évette,87184200,90350,C,3614,3614,6821,6821,5387,5387,6267,6267,5992,5992,6166,6166
Basse-Ham,87191601,57110,C,14,14,646,646,523,523,642,642,632,632,1408,1408
Baume-les-Dames,87718460,25110,B,155122,193902,184027,230033,160265,200332,170977,213721,169972,212465,175712,219640
Beaugency,87574160,45190,B,243606,304508,365966,457457,336506,420632,342444,428055,335196,418995,351917,439896
Beauvais,87313510,60000,B,988279,1235349,1327596,1659496,1298880,1623600,1402417,1753022,1379556,1724446,1346772,1683465
Beauvoisin,87775809,30640,C,4826,4826,916,916,299,299,585,585,800,800,552,552
Bécon les Bruyères,87382002,92400,B,5613320,5613320,10269355,10269355,10508412,10508412,10854104,10854104,11036425,11036425,11668320,11668320
Bédarieux,87781609,34600,C,16035,16035,13726,13726,15337,15337,17095,17095,16859,16859,17230,17230
Bédarrides,87765198,84370,C,9782,9782,20446,20446,20795,20795,26959,26959,20850,20850,22469,22469
Bedous,87672774,64490,C,12252,12252,16872,16872,12640,12640,18010,18010,15975,15975,525,525
Bègles,87581801,33130,C,24877,24877,34296,34296,27100,27100,24941,24941,18524,18524,22853,22853
Belfort - Montbéliard TGV,87300822,90400,A,360875,494349,739793,1013416,733608,1004942,791713,1084539,739676,1013255,723873,991608
Belleville sur Sâone,87721357,69220,B,609269,761586,955807,1194759,850238,1062798,868192,1085241,831617,1039521,857814,1072268
Belvès,87595876,24170,C,3663,3663,7409,7409,7242,7242,9336,9336,9965,9965,10094,10094
Bénestroff,87192302,57670,C,7919,7919,11223,11223,9158,9158,8829,8829,7830,7830,7232,7232
Béning-lès-Saint-Avold,87193250,57800,B,77404,96755,130046,162558,108518,135648,126267,157834,119276,149095,127840,159800
Bernay,87444299,27300,B,336799,420999,477308,596636,447200,559000,484156,605195,465550,581938,484258,605322
Berthelming,87215335,57930,C,15676,15676,21267,21267,21396,21396,20083,20083,20717,20717,19951,19951
Besançon Viotte,87718007,25000,A,1587747,1744777,2155623,2368816,1948332,2141025,2118267,2327766,2040910,2242759,2123064,2333037
Beuvry lès Béthune,87342402,62660,C,7478,7478,16102,16102,12855,12855,13702,13702,12758,12758,14810,14810
Bibliothèque François Mitterrand,87328328,75013,B,15220367,15220367,27828914,27828914,28137619,28137619,28540419,28540419,28385788,28385788,28099826,28099826
Bidarray Pont Noblia,87673699,64780,C,2001,2001,2497,2497,1739,1739,1600,1600,1621,1621,957,957
Biffontaine,87144188,88430,C,806,806,1175,1175,1579,1579,2871,2871,3142,3142,3041,3041
Billy-Montigny,87345140,62420,B,138698,173372,233559,291949,221159,276449,221829,277286,203519,254399,213104,266380
Bischoffsheim,87214296,67830,B,92984,116231,133047,166309,122565,153206,122728,153410,122510,153137,127673,159592
Blois - Chambord,87574004,41000,A,934646,1168307,1507917,1884896,1465901,1832376,1576606,1970757,1499456,1874320,1535135,1918919
Blonville-sur-Mer - Benerville,87444380,14910,C,1398,1398,2404,2404,1927,1927,2020,2020,1978,1978,1977,1977
Bogny-sur-Meuse,87172049,8120,C,66622,66622,65702,65702,64059,64059,68922,68922,68443,68443,73728,73728
Bouaye,87481200,44830,C,24669,24669,33921,33921,26796,26796,25179,25179,19696,19696,17241,17241
Boucoiran-et-Nozières,87775346,30190,C,3772,3772,1745,1745,1768,1768,1224,1224,1396,1396,1106,1106
Bourges,87576207,18000,A,615575,769469,980131,1225164,843252,1054065,915112,1143891,880015,1100019,957058,1196322
Bourgoin-Jallieu,87723429,38300,B,922883,1153604,1855873,2319842,1765349,2206686,1838742,2298427,1701021,2126276,1605895,2007369
Bournezeau,87486324,85480,C,320,320,949,949,729,729,573,573,716,716,1587,1587
Bourth,87393603,27580,C,0,0,0,0,0,0,82,82,469,469,385,385
Bouthéon,87726216,42160,C,26961,26961,43426,43426,33990,33990,37248,37248,32178,32178,36970,36970
Boves,87313213,80440,C,10945,10945,18323,18323,16049,16049,14182,14182,16521,16521,16198,16198
Bréauté - Beuzeville,87413344,76110,B,393317,491647,595924,744905,514962,643702,516073,645091,486612,608266,497138,621423
Breil-sur-Roya,87756833,6540,C,32917,32917,70196,70196,60658,60658,71707,71707,57215,57215,51425,51425
Breteuil,87313247,60120,C,30912,30912,41007,41007,36295,36295,36651,36651,36570,36570,39090,39090
Bretigny - Norges,87712265,21490,C,10228,10228,8764,8764,10112,10112,8340,8340,8375,8375,9460,9460
Bretoncelles,87394270,61110,C,21239,21239,22932,22932,20615,20615,20934,20934,24073,24073,26475,26475
Breuillet Village,87545491,91650,B,374054,374054,683921,683921,672723,672723,665433,665433,644494,644494,621695,621695
Brignoud,87747451,38190,B,165206,206507,273904,342380,235085,293856,259862,324827,235496,294370,255609,319511
Bully - Grenay,87342105,62160,B,99295,124119,181839,227299,174904,218631,198058,247573,196459,245573,204688,255861
Buno - Gironville,87681510,91720,C,33180,33180,60666,60666,64001,64001,68182,68182,70957,70957,74127,74127
Busseau sur Creuse,87597708,23150,C,628,628,551,551,764,764,1223,1223,1022,1022,1417,1417
Calais - Fréthun,87281071,62185,A,415684,519605,773711,967139,714434,893042,747269,934087,706331,882914,698676,873346
Capdenac,87613109,12700,C,82518,82518,107834,107834,71224,71224,75990,75990,73838,73838,76135,76135
Carhaix-Plouguer,87473504,29270,C,29538,29538,34270,34270,44750,44750,59810,59810,60746,60746,65011,65011
Casino Lacroix Laval,87208553,69260,C,9241,9241,21010,21010,17487,17487,21500,21500,18331,18331,20468,20468
Cassel,87281139,59970,B,91344,91344,122794,122794,111522,111522,117253,117253,109852,109852,100561,100561
Castillon-la-Bataille,87584136,33350,B,106766,133458,101245,126556,132624,165780,148967,186208,138851,173563,149930,187413
Caudrot,87582841,33490,C,5015,5015,8034,8034,6238,6238,5031,5031,5406,5406,8742,8742
Caudry,87345561,59540,B,82399,102999,128178,160222,105680,132101,115496,144371,106785,133481,115271,144088
Caulnes,87473066,22350,C,42095,42095,55299,55299,45131,45131,36453,36453,31786,31786,27383,27383
Caussade,87613356,82300,B,77676,77676,90861,90861,81556,81556,102636,102636,99606,99606,104795,104795
Cazères,87611079,31220,B,123606,154508,152020,190025,132125,165156,171050,213813,163036,203795,169960,212450
Ceintrey,87141572,54109,C,1425,1425,669,669,3344,3344,3022,3022,3394,3394,4802,4802
Cergy Préfecture,87381905,95800,B,6692312,6692312,12236286,12236286,12279673,12279673,12347999,12347999,12213175,12213175,11996226,11996226
Cernay (Val-d'Oise),87276063,95120,B,1637839,1637839,2994643,2994643,3036288,3036288,3047339,3047339,3026905,3026905,2993023,2993023
Châbons,87747212,38690,C,44628,44628,53351,53351,51640,51640,53309,53309,50770,50770,47815,47815
Chamarande,87545152,91730,B,97082,97082,177504,177504,188475,188475,201279,201279,210255,210255,220105,220105
Chamonix-Mont-Blanc,87746784,74400,B,100733,125916,150679,188349,134648,168310,142873,178591,143725,179657,152296,190371
Champ de Courses d'Enghien,87276030,95230,B,1146691,1146691,2096797,2096797,2066509,2066509,2072979,2072979,2155045,2155045,2229912,2229912
Champagne-sur-Oise,87276519,95660,B,187365,187365,342276,342276,353481,353481,344530,344530,320066,320066,296487,296487
Champagne-sur-Seine,87682450,77430,B,283539,283539,518423,518423,505753,505753,497079,497079,478155,478155,457828,457828
Charmes,87144055,88130,B,239565,299457,313168,391461,276459,345574,284407,355509,280450,350562,288612,360765
Château-Arnoux-Saint-Auban,87751230,4160,C,7155,7155,18133,18133,31432,31432,40836,40836,38741,38741,39276,39276
Châteaubriant,87481648,44110,C,17166,17166,24437,24437,22439,22439,27774,27774,29438,29438,29349,29349
Château-l'Évêque,87595165,24460,C,1671,1671,1871,1871,1317,1317,1091,1091,895,895,1163,1163
Châteaulin,87474064,29150,C,20984,20984,32682,32682,26892,26892,15531,15531,28101,28101,39666,39666
Châteauroux,87597005,36000,A,560045,700057,805216,1006520,728454,910567,787944,984930,751042,938803,784887,981109
Châtelaillon-Plage,87485110,17340,C,56464,56464,85288,85288,68306,68306,87581,87581,78511,78511,81090,81090
Châtillon d'Azergues,87721753,69380,C,13629,13629,19714,19714,16175,16175,17707,17707,22861,22861,23326,23326
Chaville - Vélizy,87393173,92370,B,824196,824196,1505780,1505780,1623827,1623827,1754176,1754176,1860522,1860522,1963899,1963899
Chaville Rive Gauche,87393207,92370,B,510085,510085,932646,932646,1000355,1000355,1067926,1067926,1123009,1123009,1180143,1180143
Chedde,87746701,74190,C,15047,15047,20478,20478,21249,21249,22641,22641,23305,23305,22703,22703
Chemillé-en-Anjou,87484246,49120,B,90698,113372,156909,196136,145513,181891,171319,214149,165826,207283,177670,222088
Chenonceaux,87574491,37150,C,30101,30101,45390,45390,44593,44593,48742,48742,48162,48162,46471,46471
Chépy - Valines,87317495,80210,C,235,235,2897,2897,5618,5618,6434,6434,7417,7417,7049,7049
Chevillon,87175117,52170,C,1822,1822,1416,1416,1571,1571,1193,1193,1393,1393,2683,2683
Chèvremont,87184259,90340,C,0,0,0,0,0,0,467,467,792,792,1111,1111
Chinon,87571687,37500,B,107852,134815,139060,173825,118423,148029,125882,157353,120107,150134,125376,156720
Chissay-en-Touraine,87574848,41400,C,2361,2361,5992,5992,7176,7176,7711,7711,8050,8050,7393,7393
Clères,87411819,76690,B,97518,121898,138604,173255,129616,162020,130942,163678,126552,158190,128705,160881
Clermont de l'Oise,87313304,60600,B,709439,886798,980971,1226213,926973,1158716,980153,1225192,930076,1162595,935465,1169331
Clerval,87184622,25340,C,39726,39726,52180,52180,44943,44943,56309,56309,46612,46612,47372,47372
Cloyes-sur-le-Loir,87574509,28220,C,11071,11071,14659,14659,11289,11289,11580,11580,12263,12263,14041,14041
Coat Guégan,87473579,22390,C,318,318,637,637,1681,1681,2851,2851,3547,3547,2796,2796
Collonges - Fontaines,87721225,69660,C,70106,70106,92646,92646,73055,73055,68478,68478,75524,75524,83330,83330
Colmar Saint-Joseph,87181222,68000,C,64908,64908,76016,76016,78681,78681,87336,87336,84732,84732,87946,87946
Colombier-Fontaine,87184556,25260,C,10622,10622,14534,14534,11952,11952,14045,14045,14728,14728,14259,14259
Colomiers Lycée International,87611921,31770,B,138766,173458,174685,218356,181352,226691,233161,291451,251010,313762,255183,318979
Combourg,87478057,35270,B,216965,271206,297540,371925,266528,333160,267969,334961,262920,328650,267557,334446
Comines,87286260,59560,C,1058,1058,2413,2413,2357,2357,2348,2348,1690,1690,3343,3343
Conches-en-Ouche,87387159,27190,B,48376,60470,88186,110233,96123,120154,104160,130200,97605,122007,101292,126615
Cosne-Cours-sur-Loire,87696146,58200,B,116309,145387,162150,202688,158219,197774,179187,223983,176942,221177,194441,243051
Couliboeuf,87444232,14620,C,0,0,346,346,262,262,1002,1002,1013,1013,880,880
Coulommiers,87116301,77120,B,773068,773068,1413685,1413685,1307147,1307147,1212158,1212158,1101461,1101461,997635,997635
Courcay - Tauxigny,87571448,37310,C,3814,3814,3709,3709,6041,6041,8599,8599,13772,13772,15474,15474
Cramoisy,87313544,60660,C,1531,1531,2906,2906,4447,4447,3834,3834,3935,3935,2273,2273
Crécy-la-Chapelle,87116772,77580,B,104465,104465,190995,190995,187867,187867,185303,185303,179177,179177,172569,172569
Croix - Wasquehal,87286716,59170,C,3694,3694,7775,7775,6510,6510,6880,6880,6973,6973,10385,10385
Cros de Cagnes,87756338,6800,B,137254,171568,221457,276822,173172,216465,179215,224018,148277,185346,143461,179327
Crouy-sur-Ourcq,87116640,77840,B,111182,111182,204707,204707,199897,199897,198756,198756,196972,196972,190715,190715
Cuers - Pierrefeu,87755355,83390,C,49667,49667,69744,69744,52377,52377,62805,62805,50332,50332,38719,38719
Culmont - Chalindrey,87142125,52600,C,35598,35598,60945,60945,64635,64635,78547,78547,76315,76315,100673,100673
Dannes - Camiers,87317081,62187,C,9337,9337,10346,10346,9826,9826,11730,11730,15102,15102,13095,13095
Dardilly Le Jubin,87721449,69570,C,29694,29694,38983,38983,39246,39246,42798,42798,45995,45995,53696,53696
Decize,87696484,58300,C,61224,76531,94895,118619,78441,98052,94386,117982,90908,113635,101184,126481
Deluz,87718429,25960,C,1240,1240,1352,1352,597,597,1192,1192,1207,1207,1868,1868
Denain,87343459,59220,C,21192,21192,36925,36925,32400,32400,31612,31612,27110,27110,28346,28346
Dercy - Froidmont,87297143,2270,C,10378,10378,9871,9871,11496,11496,13503,13503,13129,13129,13255,13255
Dieppe,87415018,76200,B,376579,470724,557443,696803,502031,627539,505178,631472,479196,598995,513611,642014
Digoin,87694695,71160,C,18097,18097,19319,19319,15496,15496,19277,19277,18785,18785,21829,21829
Dirinon,87474015,29460,C,4781,4781,8153,8153,4811,4811,1248,1248,1950,1950,2467,2467
Dissay,87575191,86130,C,23302,23302,25212,25212,25892,25892,26942,26942,26808,26808,27494,27494
Domblans - Voiteur,87718213,39210,C,35660,35660,31832,31832,34199,34199,41499,41499,41663,41663,44879,44879
Dommartin - Remiencourt,87316109,80440,C,7769,7769,8642,8642,7171,7171,8963,8963,8823,8823,8177,8177
Dompierre Sept Fons,87696427,3290,C,9188,9188,14413,14413,15074,15074,17524,17524,16866,16866,17781,17781
Dordives,87684233,45680,C,19270,19270,27353,27353,40152,40152,87871,87871,213516,213516,545489,545489
