Nom de la gare,Code UIC complet,Code postal,Segmentation DRG 2021,Total Voyageurs 2020,Total Voyageurs + Non voyageurs 2020,Total Voyageurs 2019,Total Voyageurs + Non voyageurs 2019,Total Voyageurs 2018,Total Voyageurs + Non voyageurs 2018,Total Voyageurs 2017,Total Voyageurs + Non voyageurs 2017,Total Voyageurs 2016,Total Voyageurs + Non voyageurs 2016,Total Voyageurs 2015,Total Voyageurs + Non voyageurs 2015
Metzervisse,87191338,57940,C,3651,3651,4874,4874,4727,4727,5608,5608,6276,6276,6867,6867
Meung-sur-Loire,87574137,45130,B,215000,268750,319749,399686,298142,372678,290582,363228,269021,336276,281010,351263
Meursault,87713560,21190,C,10755,10755,18328,18328,16723,16723,18019,18019,15772,15772,16038,16038
Meyrargues,87751370,13650,C,29394,29394,54518,54518,55461,55461,67773,67773,65324,65324,68670,68670
Milhaud,87775098,30540,C,1989,1989,4354,4354,3206,3206,3753,3753,3213,3213,2195,2195
Millas,87784546,66170,C,1195,1195,286,286,368,368,508,508,322,322,364,364
Milly-sur-Thérain,87313700,60112,C,4098,4098,5878,5878,7516,7516,7719,7719,7829,7829,8988,8988
Miramas,87753004,13140,B,423780,529726,668063,835079,617949,772436,666781,833476,625844,782305,636861,796076
Modane,87742007,73500,B,163718,194902,205104,244172,205051,244109,214537,255401,194357,231377,195519,232761
Monsempron-Libos,87586453,47500,C,20630,20630,35773,35773,35246,35246,39031,39031,42400,42400,45076,45076
Montaigu,87481465,85600,B,216542,270678,320635,400794,314293,392866,327763,409704,317754,397193,322737,403421
Montargis,87684001,45200,B,1002392,1252990,1717950,2147437,1642327,2052909,1673680,2092101,1588939,1986174,1588011,1985014
Montbizot,87396044,72380,C,12385,12385,29840,29840,35995,35995,35712,35712,31959,31959,29633,29633
Montchanin,87694307,71210,C,68536,68536,78852,78852,69086,69086,85623,85623,93253,93253,100200,100200
Mont-de-Marsan,87671016,40000,B,273230,341538,355435,444293,316906,396133,317866,397333,275100,343875,280991,351239
Montérolier - Buchy,87411454,76680,C,25405,25405,38036,38036,33488,33488,32289,32289,31402,31402,33569,33569
Monteux,87765818,84170,B,51419,51419,106553,106553,107288,107288,126879,126879,86965,86965,45716,45716
Montfort-l'Amaury - Méré,87393892,78490,B,352739,352739,644638,644638,647541,647541,658762,658762,652624,652624,645654,645654
Montigny-sur-Loing,87684100,77690,B,117592,117592,214722,214722,217333,217333,220429,220429,218474,218474,216959,216959
Montmédy,87194209,55600,C,2001,2001,5546,5546,4739,4739,7056,7056,8207,8207,9503,9503
Montmélian,87741181,73800,B,338293,422866,509833,637291,457599,571999,492212,615265,458017,572521,470609,588262
Montreuil sur Mer,87317164,62170,C,2242,2242,2462,2462,2112,2112,29338,29338,51489,51489,57554,57554
Mont-sur-Meurthe,87141143,54360,C,8703,8703,10788,10788,9382,9382,9930,9930,12366,12366,12404,12404
Mormant,87116087,77720,B,249029,249029,455346,455346,447454,447454,444280,444280,431778,431778,417233,417233
Morre,87391300,25660,C,5818,5818,8286,8286,10191,10191,10453,10453,10325,10325,11412,11412
Moulis - Listrac,87581231,33480,C,17758,17758,28996,28996,21411,21411,17867,17867,14069,14069,17014,17014
Muhlbach-sur-Munster,87182733,68380,C,29649,29649,31410,31410,28888,28888,30407,30407,31929,31929,31602,31602
Muizon,87171298,51140,C,80902,80902,73393,73393,65407,65407,77331,77331,82000,82000,83049,83049
Munster,87182394,68140,B,205614,257017,245420,306775,252154,315192,276523,345654,276039,345048,274483,343104
Musée d'Orsay,87547307,75007,B,2592091,2592091,4739380,4739380,4970262,4970262,5213150,5213150,5371774,5371774,5514887,5514887
Najac,87613463,12270,C,7299,7299,10999,10999,6466,6466,8610,8610,7247,7247,7567,7567
Namps - Quevauvillers,87313379,80710,C,413,413,459,459,598,598,794,794,1198,1198,1084,1084
Nérondes,87576454,18350,C,17334,17334,20245,20245,16909,16909,17891,17891,20498,20498,22791,22791
Nesle,87313486,80190,C,51058,51058,72574,72574,61864,61864,66003,66003,63239,63239,66017,66017
Neufchâteau,87141291,88300,C,47657,47657,73661,73661,87866,87866,93348,93348,80656,80656,80707,80707
Neuillé-Pont-Pierre,87571547,37360,C,13053,13053,15069,15069,15307,15307,14988,14988,18315,18315,18864,18864
Nézel - Aulnay,87381731,78410,C,45256,45256,82508,82508,82478,82478,82538,82538,81051,81051,79481,79481
Nice Saint-Augustin,87756254,6200,B,805886,1007357,1668234,2085292,1397161,1746451,1482063,1852579,1142175,1427719,1076577,1345721
Niederbronn-les-Bains,87213256,67110,B,105679,132099,128680,160850,129055,161319,128558,160698,131183,163979,129231,161539
Nîmes,87775007,30000,A,2369197,3948663,3585941,5976568,3669749,6116249,4105151,6841918,3937669,6562782,3794045,6323409
Nîmes Pont du Gard,87703975,30129,A,405086,0,15135,0,0,0,0,0,0,0,0,0
Nointel - Mours,87276758,95590,B,235315,235315,430630,430630,421212,421212,408289,408289,403564,403564,397988,397988
Noisy-le-Roi,87393876,78590,B,129963,129963,237626,237626,243194,243194,249046,249046,251371,251371,253878,253878
Nonancourt,87393553,27320,C,5516,5516,10375,10375,9831,9831,10910,10910,13214,13214,14725,14725
Nortkerque,87287292,62370,C,2048,2048,2870,2870,2137,2137,2398,2398,2296,2296,2749,2749
Nouan-le-Fuzelier,87543157,41600,C,26442,26442,35637,35637,35741,35741,40678,40678,39239,39239,39077,39077
Nouvion-sur-Meuse,87172213,8160,C,45387,45387,45483,45483,45054,45054,55084,55084,61589,61589,60999,60999
Noyon,87276782,60400,B,417972,522465,560845,701057,534211,667764,594724,743405,581178,726472,582612,728265
Nuits sous Ravières,87713156,89390,C,22087,22087,34707,34707,27520,27520,30273,30273,29463,29463,31124,31124
