Nom de la gare,2020,2019,2018,2017,2016,2015
L'Ariane La Trinité,15559,31204,23898,23129,17609,14802
Ascq,9877,16603,18741,17590,14407,14630
Le Bugue,6303,11454,10156,13123,13423,12367
Aubazines - Saint-Hilaire,5011,8137,6662,8054,7895,8467
Le Croisic,77541,116085,103756,113864,105241,97105
Aubiat,5053,8809,7945,6420,4849,4419
Le Dorat,14433,19196,17164,21886,25037,26369
Aubigny-au-Bac,25519,50636,44209,47944,49293,52267
Le Fauga,47824,51144,52728,62201,53867,57731
Auboué,1568,2608,1839,2186,3420,4747
Le Mée-sur-Seine,1305061,2386412,2428170,2458895,2449483,2431688
Auffay,159577,214793,197127,188636,186549,197756
Le Pénity,3235,2752,3098,3028,2742,2809
Aulnay-sous-Bois,13389057,24479374,24831698,24926269,24327097,23726233
Le Poirier Université,74327,176451,158245,155320,134365,146596
Avesnes-sur-Helpe,111552,170792,153358,165722,160636,181071
Le Rouget,3554,6155,9298,11043,12407,14420
Avrechy,3772,5073,6801,6887,6980,7219
Le Stade,1354595,2477161,2212788,2307206,2430476,2537738
Aytré Plage,7205,11310,9352,11792,12485,13118
Lentilly Charpenay,124739,227003,211712,222334,182763,155351
Babinière,34528,65168,93097,114818,107295,96983
Lérouville,6658,8591,7383,6023,4815,5307
Baccarat,86853,128406,116842,129480,134114,145136
Les Deux Jumeaux,23722,32774,21101,24654,21850,22642
Bagneaux-sur-Loing,16051,29663,57849,114246,223786,439600
Les Eyzies-de-Tayac-Sireuil,10521,20871,17280,21489,22584,21824
Baillargues,166854,188711,156311,174582,146538,127626
Les Lacs,13488,16383,14661,14078,12276,13065
Bains-les-Bains,1965,2801,2384,3047,3918,4001
Les Longevilles-Rochejean,239,834,666,845,637,665
Ballancourt-sur-Essonne,265484,485406,498440,515230,521401,525543
Les Moutiers-en-Retz,15453,20176,14809,13334,11809,7070
Ballan-Miré,28881,44366,38016,36096,33804,38356
Les Mureaux,2304146,4212499,4169211,4152039,4054618,3943190
Bandol,220175,324916,304322,340862,315616,306604
Les Noues,798488,1461270,1539584,1618916,1674500,1724995
Bantzenheim,4662,7285,8034,9423,10091,10914
Les Pavillons-sous-Bois,930421,1701182,1683059,1673494,1629471,1580346
Batz-sur-Mer,11761,15922,12216,11675,9851,8915
Les Ramassiers,10162,9323,6410,6006,9779,12025
Bayard,193,981,2074,1296,1730,2037
Les Sables-d'Olonne,287073,416103,386709,413973,395451,392972
Bayonne,660529,948134,829006,901165,800871,839085
Les Salelles,17,18,1,2,0,1
Baziège,52111,55961,50573,68316,67474,74680
Les Versannes,813,1600,1699,2885,2641,1688
Beaucaire,17161,6521,7446,9383,8729,9525
Lesparre-Médoc,74228,107129,86740,81733,64273,70651
Beaumont-le-Roger,6269,12520,13543,14013,12102,12389
L'Estaque,45211,76570,60832,76554,65513,64348
Beautiran,189370,275136,235945,220784,202064,178820
Lestelle-de-Saint-Martory,517,312,273,867,1146,1710
Bellac,16307,26216,23075,34347,36090,32527
L'tang-la-Ville,286427,523719,518147,516572,503902,487170
Bellegarde-sur-Valserine,775242,1305663,1151476,1352028,1359050,1419005
Leucate La Franqui,63919,68400,53643,65525,58874,61925
Belleville,17494,25006,23040,28306,28504,28800
Libourne,986092,1468974,1239181,1329200,1317070,1286991
Belz - Ploemel,1375,1586,1127,450,1078,1187
Limeray,7270,6352,6059,7245,7486,7109
Bena Fanes,23,78,33,4,10,2
Limoges Bénédictins,1002380,1589836,1458785,1696236,1643729,1711530
Bergerac,199226,185431,271436,297352,275003,289479
Limoux Flassian,4693,3796,1621,2020,2040,4224
Berlaimont,8730,19722,17711,18551,15493,19691
Lison,95100,170736,190364,223467,209488,227865
Bersac-sur-Rivalier,3064,4347,4566,5126,5404,4818
Lizy-sur-Ourcq,202227,370060,362132,356523,344061,329876
Bertrichamps,3434,3894,3502,3521,4560,5641
Loches,196188,231758,220117,214429,222283,224545
Besançon Franche-Comté TGV,349723,657453,641643,712656,682900,689453
Loison-sous-Lens,7162,15112,14600,15199,11559,15488
Besançon Mouillère,52359,80798,76137,92077,83461,96710
Longueville,450653,824175,816896,818352,800623,780859
Béthune,1134785,1838636,1744515,1844883,1775966,1827943
Lons-le-Saunier,255434,339975,327804,371572,343976,354204
Bigny,79,358,1061,1996,1920,2098
Luant,655,107,30,268,755,924
Bischheim,32597,52507,46267,45637,47310,43357
Luchon,22939,28744,23722,31900,35488,42046
Bitschwiller-lès-Thann,29187,36084,32939,35640,33589,37642
Luc-la-Primaube,5253,6669,4749,5014,4560,5019
Blainville - Damelevières,177687,251380,246147,264277,279193,295781
Lunas,108,299,182,158,111,81
Blanzy,21322,13853,7317,6130,5586,7439
Lure,165998,194929,169657,189508,174734,196701
Bléré - La Croix,101869,145603,139736,139181,127815,128280
Lus-la-Croix-Haute,3261,5455,4526,5880,5329,5950
Bollène La Croisière,87212,134248,115731,136888,129801,142446
Luttenbach-près-Munster,6372,10194,10932,9463,8825,7398
Bondy,6877262,12574385,12799616,13024968,13017323,12955985
Lutzelhouse,107050,116951,131970,152469,151388,159059
Bonson,36464,66667,57138,59067,55706,64674
Lyon Perrache,4308666,7434369,5678086,5790743,5633663,5655585
Bordeaux Saint-Jean,11184093,17675655,16080989,14979299,12198403,12062338
Mâcon,839209,1230858,1134958,1222482,1148009,1239005
Bouchain,25002,37029,34644,36656,33428,32641
Magenta,23527091,43016926,44197645,45366168,45730527,45905097
Bougival,479553,876847,869907,869754,851846,811830
Magland,18143,24673,18787,21825,16746,20754
Boulazac,53,0,0,0,0,0
Magneux - Courlandon,15304,14861,17563,24648,25897,19094
Boulogne Tintelleries,208525,314693,286180,306739,292292,306653
Maintenon,920336,1232897,1186265,1209835,1207819,1216557
Bourbourg,17061,20921,14818,15587,14627,10384
Maisons-Alfort - Alfortville,7451259,13624825,13921116,14180872,14204397,14171754
Bourgtheroulde - Thuit-Hébert,5189,2424,1534,1717,2347,2591
Maisons-Laffitte,4700593,8594609,8358173,8149225,7842005,7549498
Boussens,124996,190457,167352,206713,174130,185806
Mâlain,36504,35042,33070,34726,35658,35307
Brebières,66521,86470,81038,81110,79737,79692
Malesherbes,224094,411354,431003,452088,463114,476343
Brélidy - Plouëc,5021,4787,2925,1748,2270,2903
Mamirolle,15420,21159,17418,19376,17105,18392
Bretenoux - Biars,9375,15092,14024,16366,18328,21919
Marcheprime,330018,449948,374402,351444,315771,312999
Breuil - Romain,22209,19333,13976,13838,13118,23285
Mareil-sur-Mauldre,46705,85503,82238,79678,75375,71077
Briare,30194,47148,43985,48170,45392,50561
Marly-le-Roi,1082278,1978907,2099153,2242841,2347923,2262911
Brou,64559,80996,74844,76016,70824,74059
Marmagne sous Creusot,113,89,156,96,220,275
Bruz,119298,166368,130109,120054,108094,106113
Marquillies,8753,18664,16557,17314,19534,20913
Bugeat,4761,7502,5992,5810,5815,7142
Marseille Blancarde,392563,504437,424347,436131,380068,319669
Bussière-Galant,12295,17746,15815,19077,21535,19921
Martigues,17300,40292,41142,50797,47404,52934
Byans-sur-Doubs,6415,5284,4466,8714,11428,11908
Maule,167035,305405,303254,302193,295486,287328
Caffiers,1764,3196,2945,3274,5727,6298
Mauzé-sur-le-Mignon,68328,77183,67241,58614,51344,52534
Calais,757575,998639,895183,982337,999319,1074918
Mayet,16029,33455,36665,33544,34907,35328
Cambo-les-Bains,6764,7449,4459,5754,7240,21789
Melun,8634201,15787310,15706181,15647375,15301762,14897282
Cambrai,464567,697594,627458,687678,657910,668208
Menton Garavan,107569,237138,196796,230197,210608,211987
Campagnac - Saint-Geniez,531,763,770,915,487,846
Mer,141146,228509,213117,218668,211373,225926
Cannes,2289665,4073099,3503089,3853968,3460278,3566157
Mériel,215745,394514,378755,369878,355864,341878
Capvern,3388,3638,3673,6742,7984,8146
Meulan - Hardricourt,297677,544247,515702,488974,452944,464652
Carantilly - Marigny,0,0,1403,1948,1404,1697
Mézériat,40104,41775,41173,42703,39153,43827
Carmaux,62788,84973,76308,96438,89990,100213
Mézidon-Canon,210231,298881,273594,309501,310601,318023
Carnoët - Locarn,2633,2557,3410,3273,3558,2918
Milhac-d'Auberoche,61,436,739,1010,678,209
Carpentras,163728,313857,313065,356186,257686,149254
Miniac-Morvan,17,436,371,163,916,1223
Castres,90303,130131,125499,179620,174902,196675
Mionnay,54101,98182,90023,96332,101028,100975
Caudéran Mérignac,38370,72314,55965,60107,40743,47128
Moirans,486321,768911,663292,746284,722730,751969
Chamelet,6775,13321,9539,8453,12411,11419
Mommenheim,169598,250511,227190,218014,210960,204272
Champagné,14192,22836,20618,26741,34654,40979
Monéteau - Gurgy,11047,16007,16274,21150,16139,17069
Chanac,64,222,547,612,606,743
Monistrol-d'Allier,1472,1776,1382,1960,1617,470
Changis - Saint-Jean,165586,302651,308219,317021,318892,318992
Montauban-de-Bretagne,145320,213580,174436,169875,162666,165515
Chanteloup-les-Vignes,393734,719119,757040,796777,823290,838046
Montaudran,32166,36930,22343,26320,26942,26387
Chantilly - Gouvieux,1694056,2679758,2427387,2603456,2500930,2421516
Montbartier,47521,54779,43759,55637,54208,51823
Chapeauroux,611,707,500,500,464,311
Montbéliard,397874,539812,484248,538456,495367,529251
Chaponval,30477,55733,55078,54127,53547,53160
Montdidier,116594,158727,156750,163924,161941,167397
Chartrettes,29206,53428,51957,50979,48843,46822
Montgeron - Crosne,2228559,4074620,4167597,4287891,4328950,4348527
Chasseneuil-sur-Bonnieure,5765,17783,21027,28700,27141,31627
Montgeroult - Courcelles,10475,19162,22831,27669,32647,31502
Chasseradès,849,968,776,621,662,517
Montigny - Beauchamp,2683306,4906007,5044611,5036237,5024855,4996765
Chasse-sur-Rhône,136089,195254,158389,160477,144755,155162
Montivilliers,14499,22450,23296,30880,32244,35185
Châteauneuf-sur-Charente,36591,56387,48544,51176,48921,47548
Montluçon,191312,301423,309296,345749,343667,380565
Château-Thierry,955709,1590892,1604230,1739984,1786537,1924022
Montmorillon,31402,40196,32379,46147,46247,47460
Châtelet les Halles,18036615,32978142,32450133,31827871,30742412,29526620
Montpon-Ménestérol,110935,162574,128349,139407,137303,134378
Châtellerault,337286,491606,453838,519242,506257,525794
Montréjeau - Gourdan-Polignan,93978,113771,112009,158653,181147,176929
Chaumont-en-Vexin,177716,310770,311075,373983,377857,386236
Montreuil-Bellay,4470,6291,5807,5441,6366,7024
Chazay - Marcilly,12148,17133,13054,17384,15361,13632
Montreuil-sur-Thérain,4384,5769,4745,5019,4999,5185
Cheilly-lès-Maranges,11925,10672,8213,6454,5515,4566
Montsûrs,12317,29501,40391,45273,43528,39516
Chemilly - Appoigny,1286,4728,1835,1913,1564,2542
Morcenx,138528,173007,147913,156948,142505,146503
Chenevières,2163,2096,2221,3028,3185,2659
Mouans-Sartoux,91143,165696,116753,41490,120438,126323
Cholet,321851,499882,471013,541162,521430,552627
Mourmelon-le-Petit,54197,79829,72417,79372,72917,76858
Cintegabelle,57628,81773,78473,104090,98862,98714
Mouroux,61718,112857,115847,120331,122066,123599
Cires-lès-Mello,69824,96422,87462,98692,100360,106980
Moustéru,1277,1525,867,552,748,244
Cize - Bolozon,964,1481,477,586,906,2132
Mouy - Bury,133980,177877,159977,166487,171839,171293
Clamart,1143075,2089944,2298488,2528160,2734253,2936829
Narbonne,1045543,1238902,1225596,1498171,1508061,1439839
Clermont-Ferrand,2640063,3887633,3487397,3750558,3498462,3717742
Naucelle,15936,18942,13756,15434,14811,16082
Cluses,381748,488615,445404,464060,419989,415968
Neussargues,19089,23995,22999,27451,25844,24880
Colmar Mésanges,2422,4190,4571,3442,2119,2769
Neuvy-Pailloux,9523,9799,7259,6579,6793,7550
Colombes,3366928,6156786,6305152,6159813,5993177,6039242
Nice Pont Michel,13946,26770,20167,26358,22258,17235
Colomiers,182167,239697,246880,310686,295124,311046
Nieul,1496,2413,1458,2687,4450,4756
Commentry,92822,128926,135685,149476,152911,170189
Niversac,6334,10885,7633,8215,7985,8202
Commercy,118638,182731,171608,176049,160004,168732
Nogent - Le Perreux,2636106,4819859,4841770,4864227,4806191,4716682
Connerré - Beillé,56893,141667,158737,167834,164999,179177
Nogent-sur-Seine,123943,189318,170247,185590,184383,193690
Corbehem,18911,29767,29762,31272,30967,34093
Noisy-le-Sec,9568779,17495563,17492523,17446860,17100556,16693722
Corcy,3,0,0,7,102,529
Notre-Dame-d'Oé,929,2473,2687,4050,2815,3594
Cordes - Vindrac,6466,9138,7395,9472,8567,9877
Novillars,3548,5509,4642,6307,5781,7068
Corgoloin,12146,15088,12843,13228,12360,13779
Nuits-Saint-Georges,200388,243129,220669,242194,239543,253622
Cornil,3418,4762,3654,4309,3443,3539
Oderen,16780,20299,20875,26678,26481,26341
Corrèze,3271,4298,4209,4737,4771,3665
Oissel,217679,398122,343687,370399,344988,358342
Coudekerque-Branche,9656,26533,12240,7773,7710,7642
Ondres,11897,15794,8719,8701,6185,7220
Couilly - Saint-Germain - Quincy,55974,102343,103334,104909,104449,103643
Ormoy-Villers,19872,34935,36850,39181,34870,31704
Courbevoie,2323852,4250102,4177376,4109605,3970658,4048997
Orthez,135896,178639,151117,170153,158394,171296
Coursan,2409,4105,2708,2550,2154,2427
Osny,221531,404587,448518,503619,551666,530495
Coutances,89347,132814,124199,147753,144214,161247
Osséja,360,422,335,263,273,615
Coutras,273994,376331,338056,349278,338156,346268
Parempuyre,27698,52843,34682,23953,18296,19234
Crest,52330,75386,58015,59650,57212,56260
Parent - Coudes - Champeix,47895,63985,55894,61344,59023,62453
Crissé,660,1409,2138,2685,2054,1355
Pauillac,48177,86219,60960,56590,50884,59029
Dachstein,67074,106254,88930,80157,69926,69998
Périgueux,571556,838256,767758,894784,868885,902669
Damblain,41,261,406,601,581,579
Pérols-sur-Vézère,322,171,195,170,104,221
Dangé-Saint-Romain,18885,20056,12949,11270,13323,14147
Peyrilhac - Saint-Jouvent,268,275,332,461,411,131
Dannemarie - Velesmes,30667,24692,21128,25444,28129,26559
Phalempin,205214,331190,304017,305952,273362,283486
Darsac,2094,3386,2834,6034,8542,7577
Pierrelaye,716458,1309897,1304587,1276008,1243565,1207581
Dax,635982,931979,864607,930600,874024,897314
Plaisir - Grignon,1551308,2824885,2913422,3031163,3086849,3129448
